ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
CI,118,NW,5,Crookson (2005),1,4.7762,0.74126,-0.28734,0.17137,-0.00602,-0.00209,0,0,0,5449,42.16,-116.39
CO,740,NW,2,Bechtold (2004),5,4.1687,1.5355,0,0,0,0.1275,0,0,0,5449,42.16,-116.39
MM,321,NW,2,Bechtold (2004),5,5.9765,0.8648,0,0.0675,0,0,0,0,0,5449,42.16,-116.39
SF,11,NW,5,Crookson (2005),1,4.4799,0.45976,-0.10425,0.11866,0.06762,-0.00715,0,0,0,5449,42.16,-116.39
NF,22,NW,6,Donnelly (1996),1,3.0614,0.6276,0,0,0,0,0,0,0,5449,42.16,-116.39
LL,72,NW,4,Crookston (2005),1,2.2586,0.68532,0,0,0,0,0,0,0,5449,42.16,-116.39
VN,324,NW,2,Bechtold (2004),5,5.9765,0.8648,0,0.0675,0,0,0,0,0,5449,42.16,-116.39
PL,760,NW,6,Donnelly (1996),1,7.0806,0.4771,0,0,0,0,0,0,0,5449,42.16,-116.39
SS,98,NW,5,Crookson (2005),1,8.48,0.70692,-0.38812,0.17127,0,0,0,0,0,5449,42.16,-116.39
WA,352,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
MB,478,NW,2,Bechtold (2004),5,4.0105,0.8611,0,0,0,-0.0431,0,0,0,5449,42.16,-116.39
GB,142,NW,1,Bechtold (2004),5,7.4251,0.8991,0,0,0,0,0,0,0,5449,42.16,-116.39
FC,748,NW,2,Bechtold (2004),5,4.1687,1.5355,0,0,0,0.1275,0,0,0,5449,42.16,-116.39
BI,322,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
BE,313,NW,2,Bechtold (2004),5,4.1687,1.5355,0,0,0,0.1275,0,0,0,5449,42.16,-116.39
CH,768,NW,6,Donnelly (1996),1,7.0806,0.4771,0,0,0,0,0,0,0,5449,42.16,-116.39
BD,201,SW,1,NA,5,27.03,0.8612,0,0,0,0,3.5,5.5672,0.7778,NA,NA,NA
WE,137,SW,1,NA,5,6,0.6,0,0,0,0,3.5,1.1,0.7778,NA,NA,NA
CJ,62,SW,2,NA,5,4.31,0.628,0,0,0,0,3.5,1.66784,0.7778,NA,NA,NA
LO,801,SW,2,NA,5,5.3732,0.7707,0,0,0,0,2.5,3.215,0.5556,NA,NA,NA
RC,68,EC,1,Bechtold (2003),5,1.2359,1.2962,0,0.0545,0,0,0,0,0,887,39.54,-82.52
JU,57,EC,1,Bechtold (2003),5,1.2359,1.2962,0,0.0545,0,0,0,0,0,887,39.54,-82.52
SP,110,EC,1,Bechtold (2003),5,-2.2564,1.3004,0,0.1031,-0.0562,0,0,0,0,887,39.54,-82.52
VP,132,EC,1,Bechtold (2003),5,-0.8277,1.3946,0,0.0768,0,0,0,0,0,887,39.54,-82.52
LP,131,EC,1,Bechtold (2003),5,1.2359,1.2962,0,0.0545,0,0,0,0,0,887,39.54,-82.52
WP,129,EC,1,Bechtold (2003),5,3.6031,1.1472,0,0.1224,0,0,0,0,0,887,39.54,-82.52
WN,602,EC,1,Bechtold (2003),5,3.6031,1.1472,0,0.1224,0,0,0,0,0,887,39.54,-82.52
BN,601,EC,1,Bechtold (2003),5,3.6031,1.1472,0,0.1224,0,0,0,0,0,887,39.54,-82.52
TL,690,EC,1,Bechtold (2003),5,5.5037,1.0567,0,0.088,0.061,0,0,0,0,887,39.54,-82.52
TS,694,EC,1,Bechtold (2003),5,1.3564,1.0991,0,0.1243,0,0,0,0,0,887,39.54,-82.52
WT,691,EC,1,Bechtold (2003),5,5.3409,0.7499,0,0.1047,0,0,0,0,0,887,39.54,-82.52
BG,693,EC,1,Bechtold (2003),5,5.5037,1.0567,0,0.088,0.061,0,0,0,0,887,39.54,-82.52
SH,407,EC,1,Bechtold (2003),5,4.5453,1.3721,0,0.043,0,0,0,0,0,887,39.54,-82.52
SL,405,EC,1,Bechtold (2003),5,4.5453,1.3721,0,0.043,0,0,0,0,0,887,39.54,-82.52
MH,409,EC,1,Bechtold (2003),5,1.5838,1.6218,0,0.0721,0,0,0,0,0,887,39.54,-82.52
PH,403,EC,1,Bechtold (2003),5,3.9234,1.522,0,0.0405,0,0,0,0,0,887,39.54,-82.52
HI,400,EC,1,Bechtold (2003),5,4.5453,1.3721,0,0.043,0,0,0,0,0,887,39.54,-82.52
WH,401,EC,1,Bechtold (2003),5,8.011,1.4212,0,0,0,0,0,0,0,887,39.54,-82.52
BH,402,EC,1,Bechtold (2003),5,8.011,1.4212,0,0,0,0,0,0,0,887,39.54,-82.52
PE,404,EC,1,Bechtold (2003),5,8.011,1.4212,0,0,0,0,0,0,0,887,39.54,-82.52
BI,408,EC,1,Bechtold (2003),5,-5.8749,4.1555,-0.1343,0,0,0,0,0,0,887,39.54,-82.52
AB,531,EC,1,Bechtold (2003),5,3.9361,1.15,0,0.1237,-0.0691,0,0,0,0,887,39.54,-82.52
BA,543,EC,1,Bechtold (2003),5,5.2824,1.1184,0,0,0,0,0,0,0,887,39.54,-82.52
PA,545,EC,1,Bechtold (2003),5,1.7625,1.3413,0,0.957,0,0,0,0,0,887,39.54,-82.52
UA,546,EC,1,Bechtold (2003),5,1.7625,1.3413,0,0.957,0,0,0,0,0,887,39.54,-82.52
EC,742,EC,1,Bechtold (2003),5,3.4375,1.4092,0,0,0,0,0,0,0,887,39.54,-82.52
RM,316,EC,1,Bechtold (2003),5,2.7563,1.4212,-0.0143,0.0993,-0.0276,0,0,0,0,887,39.54,-82.52
BE,313,EC,1,Bechtold (2003),5,6.4741,1.0778,0,0.0719,-0.0637,0,0,0,0,887,39.54,-82.52
SV,71,EC,1,Bechtold (2003),5,3.3576,1.1312,0,0.1011,-0.173,0,0,0,0,887,39.54,-82.52
BC,762,EC,1,Bechtold (2003),5,3.0237,1.1119,0,0.1112,0.0493,0,0,0,0,887,39.54,-82.52
AE,972,EC,1,Bechtold (2003),5,1.7296,2.0732,0,0.059,-0.0869,0,0,0,0,887,39.54,-82.52
SG,461,EC,1,Bechtold (2003),5,7.1043,1.3041,0,0.0456,0,0,0,0,0,887,39.54,-82.52
HK,462,EC,1,Bechtold (2003),5,7.1043,1.3041,0,0.0456,0,0,0,0,0,887,39.54,-82.52
WE,971,EC,1,Bechtold (2003),5,4.3649,1.6612,0,0.0643,0,0,0,0,0,887,39.54,-82.52
EL,970,EC,1,Bechtold (2003),5,1.7296,2.0732,0,0.059,-0.0869,0,0,0,0,887,39.54,-82.52
SI,974,EC,1,Bechtold (2003),5,1.7296,2.0732,0,0.059,-0.0869,0,0,0,0,887,39.54,-82.52
